LIB,Filename,Entry-point,add-key,taint-analysis,ept3,2-generatebpl,2-product,2-verify,ept7,2-s-generatebpl,2-s-product,2-s-verify,ept11,3-generatebpl,3-product,3-verify,ept15,3-s-generatebpl,3-s-product,3-s-verify,ept19,1+2-addkey,1+2-taint-analysis,1+2-generatebpl,1+2-product,1+2-verify,ept25,1+2-s-addkey,1+2-s-taint-analysis,1+2-s-generatebpl,1+2-s-product,1+2-s-verify,ept31,1+3-addkey,1+3-taint-analysis,1+3-generatebpl,1+3-product,1+3-verify,ept37,1+3_s-addkey,1+3_s-taint-analysis,1+3_s-generatebpl,1+3_s-product,1+3_s-verify,ept43,ept9
BearSSL,DES_table,cbc_decrypt,0.0143892765045166,0.0544381141662597,,1.2739458084106443,6.353299617767334,1.2025628089904783,,1.3059723377227783,6.563847541809082,1.4231114387512207,,1.281135320663452,6.746456861495972,1.3122596740722656,,1.313992261886597,6.630666971206665,1.478470802307129,,0.0101511478424072,0.0490717887878418,1.3233304023742676,6.384013652801514,1.248866081237793,,0.0106000900268554,0.0596716403961181,1.3337297439575195,6.468719482421875,1.245973825454712,,0.0190503597259521,0.0591146945953369,1.365791082382202,6.537003517150879,1.368051290512085,,0.0170135498046875,0.0530686378479003,1.3097074031829834,6.618751525878906,1.449308156967163,,
BearSSL,DES_table,cbc_encrypt,0.0147535800933837,0.0479257106781005,,1.2608509063720703,6.396307945251465,1.2257540225982666,,1.2582566738128662,6.5990891456604,1.3563876152038574,,1.2633025646209717,6.595821857452393,1.3300318717956543,,1.279449701309204,6.667631149291992,1.4912314414978027,,0.0110821723937988,0.0438313484191894,1.2862277030944824,6.212878465652466,1.186039686203003,,0.0138978958129882,0.0566139221191406,1.3474617004394531,6.514222621917725,1.2353217601776123,,0.0145699977874755,0.0538272857666015,1.337500810623169,6.553404569625855,1.4905829429626465,,0.0129432678222656,0.0471129417419433,1.3122475147247314,6.5815958976745605,1.5586190223693848,,
BearSSL,EC_25519_i15,api_mul,0.0278041362762451,0.0821943283081054,,1.507948637008667,6.820278167724609,8.514690160751343,,1.5049378871917725,6.99692702293396,9.333518743515016,,1.5256586074829102,7.023820400238037,21.86036705970764,,1.5109000205993652,6.996617794036865,10.410556316375732,,0.0121388435363769,0.0753655433654785,1.5765047073364258,6.75029444694519,6.9964988231658936,,0.0179090499877929,0.0793557167053222,1.583139419555664,6.858308553695679,7.832712173461914,,0.0214717388153076,0.0843453407287597,1.6266200542449951,6.902276515960693,7.555694341659546,,0.0271785259246826,0.0759811401367187,1.6125917434692385,6.802690982818604,7.477269172668457,,
BearSSL,RSA_i31_pkcs1,sign,0.024012804031372,0.3145403861999511,,1.8684303760528564,7.469876766204834,15.43772578239441,,1.9001951217651367,7.627699613571167,22.396170377731323,,1.8894262313842771,7.694884538650513,21.38449740409851,,1.9343571662902832,7.682658433914185,16.97397541999817,,0.0227172374725341,0.3083651065826416,2.3112776279449463,7.710560083389282,9.259148359298706,,0.0178525447845459,0.3204600811004638,2.352226972579956,7.957675218582153,10.509955167770386,,0.0258924961090087,0.3173167705535888,2.349959135055542,7.856579542160034,13.180381059646606,,0.0275588035583496,0.311342716217041,2.303819417953491,7.8692405223846436,18.11520767211914,,
BearSSL,Poly1305_i15_ChaCha20,run,0.0195777416229248,0.0910332202911377,,1.4024689197540283,6.894867897033691,2.05098032951355,,1.398149490356445,7.167853832244873,2.574453353881836,,1.3979942798614502,6.999940872192383,3.985417127609253,,1.4178378582000732,7.17207670211792,5.639562845230103,,0.0169456005096435,0.0927004814147949,1.4972877502441406,6.883570909500122,1.8125829696655276,,0.0205581188201904,0.0964384078979492,1.5126748085021973,6.965001106262207,1.874361753463745,,0.014254093170166,0.0934674739837646,1.5326979160308838,6.840353012084961,1.7936739921569824,,0.0159199237823486,0.0980246067047119,1.5724060535430908,6.778857946395874,1.7443952560424805,,
BearSSL,Poly1305_ctmul32_ChaCha20,run,0.0180587768554687,0.1339626312255859,,1.5342366695404053,7.299256086349487,2.487898588180542,,1.4952771663665771,7.572981834411621,3.452357769012451,,1.516185283660889,7.584869861602783,5.385886669158936,,1.488870620727539,7.532121181488037,14.597845554351808,,0.0135242938995361,0.1310276985168457,1.684504747390747,7.611227989196777,2.1722474098205566,,0.0167136192321777,0.1356351375579834,1.6819891929626465,7.586005687713623,2.2041797637939453,,0.0216190814971923,0.1375617980957031,1.6858007907867432,7.432805299758911,2.09621810913086,,0.01755952835083,0.136538028717041,1.664994716644287,7.456851005554199,2.116100311279297,,
BearSSL,EC_p256_m62,api_mul,0.0290391445159912,0.2397456169128418,,1.835407257080078,9.621760129928589,70.85280108451843,,1.8338227272033687,10.53682017326355,319.27932834625244,,1.858951568603516,10.027072191238403,965.3866438865662,,1.8358099460601809,9.875925540924072,1219.838330745697,,0.0219390392303466,0.2185850143432617,2.17098069190979,9.558474063873293,58.42263436317444,,0.0292396545410156,0.2302477359771728,2.271157741546631,10.143063068389893,76.80119752883911,,0.0210704803466796,0.2161417007446289,2.228114604949951,9.884670495986938,78.40222930908203,,0.026965856552124,0.2216622829437255,2.26712417602539,9.895530462265016,76.56904435157776,,
BearSSL,GHASH_ctmul,br_ghash_ctmul,0.0200791358947753,0.1088960170745849,,1.2498207092285156,5.894768476486206,1.1633341312408447,,1.30690598487854,5.90744423866272,1.130328893661499,,1.2802886962890625,5.892194509506226,1.224153995513916,,1.2959983348846436,5.97265100479126,1.2102692127227783,,0.0135233402252197,0.0952587127685546,1.3171603679656982,5.954399824142456,1.146540641784668,,0.025381326675415,0.1098091602325439,1.380903959274292,6.022738933563232,1.236414670944214,,0.014545202255249,0.1004059314727783,1.3470094203948977,6.020687818527222,1.2470715045928955,,0.0161182880401611,0.1010348796844482,1.3839094638824463,6.038527011871338,1.1994068622589111,,
BearSSL,AES_ct64,bitslice_encrypt,0.01625657081604,0.0631523132324218,,1.3117811679840088,5.335309743881226,1.0655114650726318,,1.3061203956604004,5.520580053329468,1.0546917915344238,,1.3018581867218018,5.594719409942627,1.0306344032287598,,1.3343021869659424,5.793734312057495,1.1477527618408203,,0.0102984905242919,0.0522270202636718,1.4062542915344238,5.342230081558228,0.9706597328186036,,0.0154051780700683,0.0587623119354248,1.3910529613494873,5.577099800109863,0.988056182861328,,0.02099609375,0.0661039352416992,1.4463276863098145,5.590886116027832,1.0090374946594238,,0.0130984783172607,0.058037519454956,1.3615069389343262,5.560983419418335,0.9889867305755616,,
BearSSL,AES_ct64,bitslice_decrypt,0.0142230987548828,0.0688624382019043,,1.3287913799285889,5.620270490646362,1.0588769912719729,,1.386255979537964,5.901683568954468,1.1154892444610596,,1.373708963394165,5.835039138793945,1.1972978115081787,,1.36017107963562,5.851596593856812,1.2165014743804932,,0.0184688568115234,0.062803030014038,1.4233362674713137,5.601762771606445,1.0327625274658203,,0.0186140537261962,0.0687441825866699,1.3811149597167969,5.780760288238525,1.0831563472747805,,0.0199840068817138,0.0621132850646972,1.4130733013153076,5.754133701324463,1.014265775680542,,0.0186612606048584,0.0655052661895752,1.4385695457458496,5.758915901184082,1.0245585441589355,,
